Level,ResourceType,ResourceCount,LevelLimit,CHGValue_UseMP,CHGValue_DMG_MagicPower_Magic
0,Gold,100000,1,10,10000
1,Dia,50,1,20,10000
2,Gold,140000,1,30,10000
3,Gold,160000,1,40,10000
4,Gold,180000,1,50,10000
5,Gold,200000,21,60,10000
6,Gold,220000,21,70,10000
7,Gold,240000,21,80,10000
8,Gold,260000,21,90,10000
9,Gold,300000,21,100,10000
10,Gold,350000,51,110,600
11,Gold,400000,51,120,610
12,Gold,450000,51,130,620
13,Gold,500000,51,140,630
14,Gold,550000,51,150,640
15,Gold,600000,71,160,650
16,Gold,700000,71,170,660
17,Gold,800000,71,180,670
18,Gold,900000,71,190,680
19,Gold,1000000,71,200,690
20,Gold,1500000,71,210,700
